layer,component,explained_variance_ratio,cumulative_explained_variance
0,238,0.000967272324487567,0.6265970134991221
0,239,0.0009634449379518628,0.627560458437074
0,240,0.0009594157454557717,0.6285198741825297
0,241,0.0009588606772013009,0.629478734859731
0,242,0.0009513662080280483,0.6304301010677591
0,243,0.000949441222473979,0.6313795422902331
0,244,0.0009448247728869319,0.63232436706312
0,245,0.0009405172313563526,0.6332648842944764
0,246,0.0009375335066579282,0.6342024178011343
0,247,0.0009349522297270596,0.6351373700308613
0,248,0.0009296297794207931,0.6360669998102821
0,249,0.0009279727819375694,0.6369949725922197
0,250,0.0009258529171347618,0.6379208255093545
0,251,0.0009206777904182673,0.6388415032997727
0,252,0.0009175708401016891,0.6397590741398744
0,253,0.0009134379797615111,0.6406725121196359
0,254,0.0009108222438953817,0.6415833343635313
0,255,0.000907337642274797,0.6424906720058061
0,256,0.000903218169696629,0.6433938901755027
0,257,0.0009004269959405065,0.6442943171714433
0,258,0.0008987821638584137,0.6451930993353017
0,259,0.0008943412103690207,0.6460874405456707
0,260,0.0008924670401029289,0.6469799075857736
0,261,0.0008871452882885933,0.6478670528740622
0,262,0.0008848538273014128,0.6487519067013636
0,263,0.0008844448020681739,0.6496363515034318
0,264,0.0008776184404268861,0.6505139699438587
0,265,0.0008727587410248816,0.6513867286848836
0,266,0.00087129813618958,0.6522580268210731
0,267,0.000867886992637068,0.6531259138137102
0,268,0.000866093672811985,0.6539920074865222
0,269,0.0008622203604318202,0.654854227846954
0,270,0.0008593517704866827,0.6557135796174407
0,271,0.000855041784234345,0.656568621401675
0,272,0.0008512364001944661,0.6574198578018695
0,273,0.0008505192236043513,0.6582703770254739
0,274,0.0008500908734276891,0.6591204678989016
0,275,0.0008462941623292863,0.6599667620612308
0,276,0.0008434883202426136,0.6608102503814735
0,277,0.0008401978993788362,0.6616504482808523
0,278,0.0008353507146239281,0.6624857989954762
0,279,0.000833210360724479,0.6633190093562007
0,280,0.0008316710591316223,0.6641506804153323
0,281,0.000828427029773593,0.6649791074451059
0,282,0.0008234769920818508,0.6658025844371878
0,283,0.0008194309193640947,0.6666220153565519
0,284,0.0008147071930579841,0.6674367225496098
0,285,0.0008121111313812435,0.6682488336809911
0,286,0.0008103669970296323,0.6690592006780207
0,287,0.0008089503389783204,0.669868151016999
0,288,0.0008065783767960966,0.6706747293937951
0,289,0.0008028770098462701,0.6714776064036414
0,290,0.0008025108254514635,0.6722801172290929
0,291,0.0007958492496982217,0.6730759664787911
0,292,0.0007946045370772481,0.6738705710158683
0,293,0.0007933815941214561,0.6746639526099898
0,294,0.0007904564263299108,0.6754544090363197
0,295,0.0007880566408857703,0.6762424656772055
0,296,0.0007873876020312309,0.6770298532792367
0,297,0.000785064126830548,0.6778149174060673
0,298,0.0007804791093803942,0.6785953965154476
0,299,0.000777971581555903,0.6793733680970035
0,300,0.0007748565403744578,0.680148224637378
0,301,0.0007727630436420441,0.68092098768102
0,302,0.0007714868406765163,0.6816924745216966
0,303,0.0007677858229726553,0.6824602603446692
0,304,0.0007650096085853875,0.6832252699532546
0,305,0.0007616269867867231,0.6839868969400413
0,306,0.000758544891141355,0.6847454418311827
0,307,0.0007556325290352106,0.6855010743602179
0,308,0.0007542232051491737,0.6862552975653671
0,309,0.0007513053133152425,0.6870066028786823
0,310,0.0007480214117094874,0.6877546242903918
0,311,0.0007448786636814475,0.6884995029540733
0,312,0.0007412067498080432,0.6892407097038813
0,313,0.0007402535993605852,0.6899809633032419
0,314,0.0007391467806883156,0.6907201100839302
0,315,0.0007363412878476083,0.6914564513717778
0,316,0.0007340266602113843,0.6921904780319892
0,317,0.000731994747184217,0.6929224727791734
0,318,0.0007278909324668348,0.6936503637116402
0,319,0.0007266471511684358,0.6943770108628087
0,320,0.0007253081421367824,0.6951023190049455
0,321,0.0007195280632004142,0.6958218470681459
0,322,0.0007181345717981458,0.696539981639944
0,323,0.0007160422392189503,0.697256023879163
0,324,0.0007151400204747915,0.6979711638996378
0,325,0.0007125003030523658,0.6986836642026901
0,326,0.0007109002908691764,0.6993945644935593
0,327,0.0007077907212078571,0.7001023552147672
0,328,0.0007045016973279417,0.7008068569120951
0,329,0.0007025765953585505,0.7015094335074537
0,330,0.0007007273379713297,0.702210160845425
0,331,0.0006983424536883831,0.7029085032991134
0,332,0.0006972863920964301,0.7036057896912098
0,333,0.0006938447477295995,0.7042996344389394
0,334,0.0006908929790370166,0.7049905274179764
0,335,0.0006902662571519613,0.7056807936751284
0,336,0.0006893826648592949,0.7063701763399877
0,337,0.0006839035195298493,0.7070540798595175
0,338,0.0006831063656136394,0.7077371862251312
0,339,0.0006809346377849579,0.7084181208629161
0,340,0.0006794779328629375,0.709097598795779
