aggregate_normalized_mse,pilot_resource_overlap_ratio,sample_id
0.8285458907485008,0.25,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=5
0.9006645604968071,0.25,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=5
0.808455117046833,0.25,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=5
0.8187838606536388,0.25,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=6
0.8303413167595863,0.25,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=6
0.8574824593961239,0.25,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=6
0.8292361795902252,0.25,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=7
0.7770046591758728,0.25,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=7
0.8616371005773544,0.25,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=7
0.7517837323248386,0.25,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=8
0.7839013114571571,0.25,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=8
0.8193874321877956,0.25,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=8
0.7343881074339151,0.25,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=9
0.7704446353018284,0.25,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=9
0.8092002458870411,0.25,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=9
0.7355987280607224,0.25,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=10
0.8230045884847641,0.25,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=10
0.8120865002274513,0.25,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=10
0.8225161992013454,0.25,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=11
0.8022556193172932,0.25,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=11
0.8177647925913334,0.25,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=11
0.8218339793384075,0.25,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=12
0.8004194404929876,0.25,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=12
0.8006986230611801,0.25,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=12
0.7916438803076744,0.25,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=13
0.7830064222216606,0.25,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=13
0.8520229682326317,0.25,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=13
0.8098470456898212,0.25,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=14
0.8004840984940529,0.25,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=14
0.8203878402709961,0.25,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=14
0.809502013027668,0.25,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=15
0.7823796570301056,0.25,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=15
0.8422747999429703,0.25,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.25:r=15
0.7601815573871136,0.5,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.5:r=0
0.8690041303634644,0.5,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.5:r=0
0.7768131159245968,0.5,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.5:r=0
0.7437566630542278,0.5,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.5:r=1
0.8033016286790371,0.5,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.5:r=1
0.8636529222130775,0.5,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.5:r=1
0.741513691842556,0.5,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.5:r=2
0.7599193751811981,0.5,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.5:r=2
0.7929358594119549,0.5,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.5:r=2
0.7764126248657703,0.5,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.5:r=3
0.7663060091435909,0.5,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.5:r=3
0.8097963631153107,0.5,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.5:r=3
0.82840271666646,0.5,seen_utterance_unseen_channel:snr=5:jsr=-5:f=0.5:r=4
0.8315861523151398,0.5,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.5:r=4
0.802225798368454,0.5,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-5:f=0.5:r=4
