layer0_normalized_mse,layer1_normalized_mse,layer2_normalized_mse,layer3_normalized_mse,layer4_normalized_mse,layer5_normalized_mse,layer6_normalized_mse,layer7_normalized_mse,narrowband_start_index,sample_id
0.288737028837204,0.7111144065856934,0.7627517580986023,0.8255673050880432,0.8110954761505127,0.9220258593559265,0.941982090473175,0.9177255034446716,38,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=3
0.515627384185791,0.8085986375808716,0.7896623015403748,0.8810572028160095,0.902825117111206,0.9242740273475647,0.9499235153198242,0.9310249090194702,34,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=3
0.4342983663082123,0.9429883360862732,0.9060404896736145,0.9078558683395386,0.8196974992752075,0.9504141807556152,0.8735913634300232,0.9510258436203003,48,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=4
0.23456262052059174,0.7699339389801025,0.8152405023574829,0.7796668410301208,0.8559359908103943,0.8548284769058228,0.8481060862541199,0.9373996257781982,7,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=4
0.4046158194541931,0.5810055732727051,0.7871314883232117,0.8395686149597168,0.8313273191452026,0.8669693470001221,0.885674774646759,0.9053493738174438,30,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=4
0.35934025049209595,0.8277432322502136,0.8334672451019287,0.9213814735412598,0.9012936353683472,0.8228214979171753,0.9112029075622559,0.8736646771430969,28,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=5
0.4071466624736786,0.8379627466201782,0.7419148683547974,0.8321928381919861,0.8431945443153381,0.8502596020698547,0.8621323108673096,0.9359192252159119,42,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=5
0.34116071462631226,0.7658277153968811,0.8296610116958618,0.82210773229599,0.8157758116722107,0.9056770205497742,0.8888784646987915,0.8845101594924927,15,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=5
0.492178350687027,0.7289770841598511,0.7409543991088867,0.7952106595039368,0.966175377368927,0.9804052710533142,0.909683108329773,0.9547886252403259,22,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=6
0.2840290665626526,0.42553332448005676,0.9205766916275024,0.9816039800643921,0.9279618859291077,0.9344285726547241,0.9753490686416626,0.9332098960876465,47,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=6
0.5733775496482849,0.8649247288703918,0.8161709308624268,0.8897874355316162,0.9284752607345581,0.9057950377464294,0.9904933571815491,0.941340446472168,45,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=6
0.43291398882865906,0.7600898146629333,0.8393368124961853,0.8557456135749817,0.833776593208313,0.9287656545639038,0.863140344619751,0.8494303226470947,37,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=7
0.3930228650569916,0.5714033246040344,0.5600177645683289,0.779269814491272,0.7833468914031982,0.8816179633140564,0.8955724239349365,0.9197129607200623,46,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=7
0.46617162227630615,0.9225272536277771,0.871737003326416,0.8515698313713074,0.9392679333686829,0.9507661461830139,0.8870827555656433,0.9752856492996216,2,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=7
0.28183427453041077,0.7364778518676758,0.771586537361145,0.8336898684501648,0.8573945760726929,0.9007037281990051,0.8064426779747009,0.864335834980011,21,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=8
0.341619610786438,0.710929811000824,0.7519526481628418,0.8110231757164001,0.9162668585777283,0.9105563759803772,0.8216044902801514,0.892391562461853,6,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=8
0.3583305776119232,0.6857759952545166,0.8622145652770996,0.791226327419281,0.745563268661499,0.9242609739303589,0.8847364783287048,0.8702186942100525,5,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=8
0.19873444736003876,0.7677748203277588,0.8356465101242065,0.9161778688430786,0.6773627996444702,0.7903969883918762,0.8866799473762512,0.7579560875892639,4,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=9
0.2944725453853607,0.8131455183029175,0.8130323886871338,0.8418176174163818,0.9616551995277405,0.9327225685119629,0.9733572006225586,0.8619264960289001,44,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=9
0.3452940583229065,0.7555841207504272,0.7843905687332153,0.8449990749359131,0.8721174597740173,0.84751296043396,0.9514369964599609,0.9368470907211304,28,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=9
0.24400784075260162,0.8455122113227844,0.6145419478416443,0.7890234589576721,0.8039820194244385,0.7656772136688232,0.8731164336204529,0.830059289932251,32,seen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=10
0.3788657486438751,0.7396389245986938,0.6924364566802979,0.8615182638168335,0.884437620639801,0.879818856716156,0.8873270750045776,0.8901951909065247,30,same_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=10
0.4230267107486725,0.6631618738174438,0.9157685041427612,0.9037334322929382,0.8134821057319641,0.9107223153114319,0.9011320471763611,0.8759549260139465,4,unseen_speaker_unseen_utterance_unseen_channel:snr=5:jsr=-10:f=0.25:r=10
