delta_pesq,delta_si_sdr_db,delta_speaker_similarity,delta_stoi,delta_visqol,delta_waveform_snr_db,latent_loss,layer7_loss,mode,multi_resolution_stft_distance,output_dc_mean,output_peak,output_rms,pesq,si_sdr_db,speaker_similarity,stft_l1,stft_ratio,stoi,stoi_available,stoi_error,summed_cosine_similarity,summed_normalized_mse,summed_pearson_correlation,summed_power_ratio,summed_raw_mse,utterance_id,visqol,waveform_correlation,waveform_snr_db
,-31.720914840698242,,,,-4.098804697394371,1.035836212337017,1.065100908279419,experiment_c_best_waveform,0.36104440689086914,-5.225438144407235e-05,0.11414166539907455,0.01496362779289484,,-29.212743759155273,,0.3611140847206116,2.892471628894524,,False,pystoi is not installed,0.21099261939525604,0.9564987421035767,0.21101915836334229,0.058989983052015305,23.268489837646484,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/6295/244435/6295-244435-0025.flac,,-0.0346020832657814,-0.12779830396175385
,,,,,,,,clean_codec,0.057092830538749695,0.014324984513223171,0.26939377188682556,0.04041757062077522,,-1.4382336139678955,,0.05378742143511772,,,False,pystoi is not installed,,,,,,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/1988/147956/1988-147956-0020.flac,,0.6464961171150208,2.053325653076172
,-32.599982023239136,,,,-2.5206406712532043,0.7087332271039486,0.8282512426376343,experiment_a_best_latent,0.11049281060695648,0.005669222213327885,0.1322227269411087,0.019205525517463684,,-34.03821563720703,,0.10715733468532562,1.9922378099977622,,False,pystoi is not installed,0.7826212048530579,0.3888140022754669,0.782616138458252,0.5571526885032654,8.578852653503418,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/1988/147956/1988-147956-0020.flac,,0.01986106112599373,-0.46731501817703247
,-27.298670530319214,,,,-2.3344032168388367,0.7108837738633156,0.8316591382026672,experiment_a_best_waveform,0.10908030718564987,0.006358771584928036,0.13327261805534363,0.018215706571936607,,-28.73690414428711,,0.10561605542898178,1.9635827970742845,,False,pystoi is not installed,0.7791739106178284,0.3939038813114166,0.7791646122932434,0.5584564208984375,8.691156387329102,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/1988/147956/1988-147956-0020.flac,,0.03654806315898895,-0.2810775637626648
,-31.375860929489136,,,,-2.7513564825057983,1.0626674070954323,1.1235578060150146,experiment_b_best_waveform,0.14616477489471436,-4.508155689109117e-05,0.1702280044555664,0.017660705372691154,,-32.81409454345703,,0.14015866816043854,2.605788945088362,,False,pystoi is not installed,0.10684087127447128,1.032875895500183,0.10686655342578888,0.10067611932754517,22.789535522460938,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/1988/147956/1988-147956-0020.flac,,0.022865524515509605,-0.6980308294296265
,-30.01345705986023,,,,-2.18277046084404,1.018668755888939,1.053133249282837,experiment_c_best_waveform,0.14505115151405334,-0.0001050559658324346,0.042020153254270554,0.005855634808540344,,-31.451690673828125,,0.1397305130958557,2.5978288114147423,,False,pystoi is not installed,0.31291624903678894,0.9022068977355957,0.3128677308559418,0.10499464720487595,19.90643310546875,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/1988/147956/1988-147956-0020.flac,,-0.026745738461613655,-0.12944480776786804
,,,,,,,,clean_codec,0.03215568885207176,-5.961688293609768e-05,0.3276161551475525,0.03453033044934273,,0.5820378661155701,,0.03059161826968193,,,False,pystoi is not installed,,,,,,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/8842/304647/8842-304647-0008.flac,,0.7303798198699951,2.532683849334717
,-6.761007249355316,,,,-1.6098156571388245,0.7084800042212009,0.8128082752227783,experiment_a_best_latent,0.04395073279738426,-3.637588088167831e-05,0.16512437164783478,0.016497042030096054,,-6.178969383239746,,0.042053479701280594,1.3746732628053886,,False,pystoi is not installed,0.8276986479759216,0.3162209987640381,0.827753484249115,0.6265662908554077,5.858953952789307,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/8842/304647/8842-304647-0008.flac,,0.4407145380973816,0.9228681921958923
,-8.344749391078949,,,,-1.9116867184638977,0.7108765486627817,0.8155010342597961,experiment_a_best_waveform,0.04405638575553894,-4.1469935240456834e-05,0.16692136228084564,0.016025209799408913,,-7.762711524963379,,0.041968218982219696,1.3718862013851891,,False,pystoi is not installed,0.8242635130882263,0.32267212867736816,0.8243101835250854,0.6062635779380798,5.978480815887451,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/8842/304647/8842-304647-0008.flac,,0.37866613268852234,0.6209971308708191
,-25.469416558742523,,,,-3.299322009086609,1.0545881018042564,1.1061397790908813,experiment_b_best_waveform,0.06259097903966904,-9.01971088751452e-06,0.17015177011489868,0.012909028679132462,,-24.887378692626953,,0.05953121930360794,1.9459977167212117,,False,pystoi is not installed,0.17576324939727783,0.9862479567527771,0.1757439225912094,0.09405593574047089,18.273237228393555,/home/mike/jscc/data/mini_librispeech/LibriSpeech/dev-clean-2/8842/304647/8842-304647-0008.flac,,-0.056875765323638916,-0.7666381597518921
