comparison,delta_equalized_symbol_nmse,delta_post_eq_sinr_empirical_db,delta_si_sdr_db,delta_stft_ratio,delta_summed_latent_nmse,delta_waveform_snr_db,nominal_snr_db,realization,utterance_index
A_to_B,0.1842508241534233,-4.376800537109375,-0.7425823211669922,0.10070872705696066,0.04042506217956543,-0.06402158737182617,10.0,1,13
A_to_B,0.5129147842526436,-7.830466985702515,-2.1856998205184937,0.12533139064490362,0.06376183032989502,-0.9156566858291626,10.0,0,14
A_to_B,0.4280247315764427,-7.06382417678833,-2.9754669666290283,0.23220413154872865,0.06976081430912018,-0.8236625790596008,10.0,1,14
A_to_B,0.16899490356445312,-4.137207984924316,-3.458315372467041,0.3569961870539413,0.053107693791389465,-2.3679981231689453,10.0,0,15
A_to_B,1.6927966848015785,-12.43203353881836,-0.7477917671203613,0.0863445813315884,0.01886524260044098,-0.6313724517822266,10.0,1,15
A_to_B,0.0948808416724205,-2.887958526611328,-1.1189618110656738,0.09552754187220058,0.018564343452453613,-0.7601556777954102,10.0,0,16
A_to_B,1.3033483102917671,-11.53567385673523,-0.33671998977661133,0.042542796534642546,0.026233971118927002,-0.13881540298461914,10.0,1,16
A_to_B,0.25808873027563095,-5.555574893951416,-2.8838584423065186,0.22120275764155095,0.08671659231185913,-0.6986743211746216,10.0,0,17
A_to_B,0.011451125144958496,-0.46696949005126953,0.5197384357452393,0.0018334246566831247,0.0042651742696762085,0.42972898483276367,10.0,1,17
A_to_B,0.5740134343504906,-8.204439401626587,-0.9621033370494843,0.07754255047427705,0.15008419752120972,-0.2684509754180908,10.0,0,18
A_to_B,0.15107032656669617,-3.9889001846313477,0.3264148384332657,0.015602272963955555,0.025272592902183533,-0.06182432174682617,10.0,1,18
A_to_B,0.27846676856279373,-5.880282402038574,-1.3093266487121582,0.0024288396738199047,0.0373314768075943,-0.3178260326385498,10.0,0,19
A_to_B,0.5455717965960503,-8.093199014663696,-0.8309928774833679,-0.0019891582816953246,0.013639017939567566,-0.1349952220916748,10.0,1,19
A_to_B,1.1705384775996208,-11.03419303894043,-4.064904689788818,0.11857152335023136,0.06795371323823929,-2.228778123855591,10.0,0,20
A_to_B,0.003509610891342163,-0.15045452117919922,0.03584486246109009,0.022301943363232324,0.00400853157043457,0.053704023361206055,10.0,1,20
A_to_B,2.58110498636961,-14.219825267791748,-1.428018569946289,0.13167311591938047,0.061505913734436035,0.02952951192855835,10.0,0,21
A_to_B,0.13457663357257843,-3.614251136779785,5.10715389251709,0.023906164128195462,0.003905162215232849,1.5372381806373596,10.0,1,21
A_to_B,1.2939252257347107,-11.435382604598999,-0.9074076414108276,0.11590402015694345,0.0713782012462616,-0.5209999084472656,10.0,0,22
A_to_B,5.582852728664875,-17.526320457458496,-3.3926944881677628,0.17909917599851854,0.11259153485298157,-1.3414804339408875,10.0,1,22
A_to_B,0.34114962816238403,-6.388927459716797,-0.9687880277633667,0.21260727828498416,0.08374457061290741,-0.37972021102905273,10.0,0,23
A_to_B,2.7797083035111427,-14.454048156738281,-4.556662082672119,0.36796051985266365,0.07580603659152985,-2.185380220413208,10.0,1,23
A_to_B,0.29758286476135254,-5.830667018890381,-0.9207053184509277,0.024111816382565987,0.013703584671020508,-0.6487522125244141,10.0,0,24
A_to_B,0.09237637370824814,-2.83774995803833,-0.36612987518310547,0.0485628883038991,0.014300420880317688,-0.2878260612487793,10.0,1,24
A_to_B,0.09235473722219467,-2.9007363319396973,-0.7940590381622314,0.06441767536547705,0.026675879955291748,-0.7287545204162598,10.0,0,25
A_to_B,0.1131255254149437,-3.339419364929199,0.32823657989501953,0.04856092797762823,0.002596721053123474,0.24533319473266602,10.0,1,25
A_to_B,1.8038635849952698,-12.828207015991211,-1.0723426342010498,0.10063280701606026,0.07575193047523499,-0.007308244705200195,10.0,0,26
A_to_B,0.33788150548934937,-6.336986541748047,-2.134755849838257,0.16285800803806083,0.050507575273513794,-0.3486672043800354,10.0,1,26
A_to_B,0.3725767284631729,-6.848237991333008,-1.475186824798584,0.015064384435687472,0.02610287070274353,-1.1280837059020996,10.0,0,27
A_to_B,1.332072339951992,-11.473023056983948,-1.9706194400787354,0.4197369981826764,0.13531798124313354,-1.4739179611206055,10.0,1,27
A_to_B,0.10946246236562729,-3.181002616882324,0.15519952774047852,0.06975976009537854,0.024210751056671143,0.2641744613647461,10.0,0,28
A_to_B,0.5554729178547859,-8.046721339225769,-1.7978641986846924,0.08061096474933294,0.03780065476894379,-0.36891603469848633,10.0,1,28
A_to_B,2.148776464164257,-13.55193829536438,-2.269194543361664,0.2856336097980088,0.09527690708637238,-1.3972394466400146,10.0,0,29
A_to_B,1.132201075553894,-10.904902994632721,-3.5619923174381256,0.1726439485674156,0.051576077938079834,-2.064985513687134,10.0,1,29
A_to_B,0.1964394971728325,-4.666248321533203,2.5659180879592896,0.03939884092052304,0.01627887785434723,1.835473895072937,10.0,0,30
A_to_B,0.3812986761331558,-6.814666032791138,0.3884763792157173,0.025115752935479296,0.05018197000026703,0.4945087432861328,10.0,1,30
A_to_B,0.4689076542854309,-7.602696418762207,-1.7236472368240356,0.013197485527933761,0.03360189497470856,-1.0441436767578125,10.0,0,31
