burst_start_symbol,layer0_loss,layer1_loss,layer2_loss,layer3_loss,layer4_loss,layer5_loss,layer6_loss,layer7_loss,sample_id
9,0.6520681381225586,0.958564043045044,0.942712664604187,1.0039665699005127,0.9492887854576111,0.8071365356445312,0.8538230061531067,0.98520827293396,seen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.25:r=3
10,0.25299885869026184,0.6844466328620911,0.7635514736175537,0.8303288817405701,0.7965006828308105,0.8993263840675354,0.9451197385787964,0.9300522208213806,same_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.25:r=3
24,0.5573025941848755,0.8110556602478027,0.7963318824768066,0.9009593725204468,0.8846699595451355,0.888065755367279,0.9359669089317322,0.940222442150116,unseen_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.25:r=3
17,0.417887806892395,0.943827211856842,0.9232123494148254,0.936467707157135,0.8315199017524719,0.9529568552970886,0.8550246357917786,0.943091869354248,seen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.25:r=4
14,0.21181361377239227,0.7022120952606201,0.794858992099762,0.7671543955802917,0.8491750359535217,0.848508358001709,0.8407982587814331,0.9372310638427734,same_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.25:r=4
19,0.34272679686546326,0.5612689256668091,0.780594527721405,0.8315081596374512,0.8105754852294922,0.8723109364509583,0.891649603843689,0.8938952684402466,unseen_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.25:r=4
15,0.30234578251838684,0.8167430758476257,0.8269830942153931,0.9130768775939941,0.8717911243438721,0.795001745223999,0.9056468605995178,0.8493422865867615,seen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.25:r=5
20,0.3722198009490967,0.8273269534111023,0.7350799441337585,0.8298452496528625,0.8304833769798279,0.8334766030311584,0.836851954460144,0.9330156445503235,same_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.25:r=5
10,0.28048834204673767,0.7573972940444946,0.815979540348053,0.8029273152351379,0.811840295791626,0.9072759747505188,0.889620840549469,0.8964914083480835,unseen_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.25:r=5
22,0.4945651888847351,0.7262521982192993,0.7143589854240417,0.7810476422309875,0.9553225040435791,0.975581705570221,0.9177272915840149,0.9547844529151917,seen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.25:r=6
15,0.2285696417093277,0.4187141954898834,0.9336095452308655,0.9688605070114136,0.9273791909217834,0.9295634627342224,0.9496448636054993,0.9147313237190247,same_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.25:r=6
0,0.5631855130195618,0.8553224205970764,0.8192331194877625,0.8860889077186584,0.9487908482551575,0.9002408981323242,0.967918336391449,0.9271705746650696,unseen_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.25:r=6
11,0.39661529660224915,0.7639229893684387,0.8413532972335815,0.8654171228408813,0.817799985408783,0.9252682328224182,0.849834680557251,0.8305895924568176,seen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.25:r=7
2,0.40309691429138184,0.5397382378578186,0.5374824404716492,0.7743989825248718,0.7784329056739807,0.8781009316444397,0.8819577693939209,0.9053776860237122,same_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.25:r=7
8,0.3923114240169525,0.8962658643722534,0.8747490644454956,0.8739866018295288,0.9530082941055298,0.951141893863678,0.8842002749443054,0.9730154871940613,unseen_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.25:r=7
14,0.24045684933662415,0.8064079880714417,0.7603266835212708,0.8181820511817932,0.8396318554878235,0.9044654965400696,0.8163747191429138,0.8492394089698792,seen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.25:r=8
0,0.2914532721042633,0.7059260606765747,0.7347236275672913,0.8105087876319885,0.9199532270431519,0.9121719002723694,0.8059343695640564,0.8952182531356812,same_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.25:r=8
14,0.32311925292015076,0.667330801486969,0.8359308242797852,0.7870049476623535,0.7588529586791992,0.9609611630439758,0.89603590965271,0.8646687865257263,unseen_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.25:r=8
3,0.15792763233184814,0.7283533215522766,0.7840878963470459,0.918002724647522,0.5962807536125183,0.7703341841697693,0.8402140140533447,0.6211845278739929,seen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.25:r=9
3,0.2641216516494751,0.8051307797431946,0.8146880865097046,0.8534463047981262,0.9709184169769287,0.9418259263038635,0.9433626532554626,0.7853031754493713,same_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.25:r=9
13,0.2993164658546448,0.7296128273010254,0.7772948741912842,0.840468168258667,0.8522059917449951,0.8388174772262573,0.9585795998573303,0.9445704817771912,unseen_speaker_unseen_utterance_unseen_channel:snr=5.0:jsr=-10.0:f=0.25:r=9
